phenotype	variable_type	source	n_non_missing	n_missing	n_controls	n_cases
N43	categorical	icd10	361194	0	360310	884
K74	categorical	icd10	361194	0	360942	252
S61	categorical	icd10	361194	0	359329	1865
H60	categorical	icd10	361194	0	360892	302
Z46	categorical	icd10	361194	0	357580	3614
K75	categorical	icd10	361194	0	360892	302
M67	categorical	icd10	361194	0	358581	2613
M70	categorical	icd10	361194	0	360115	1079
K92	categorical	icd10	361194	0	356175	5019
O70	categorical	icd10	361194	0	358117	3077
J46	categorical	icd10	361194	0	361014	180
Z01	categorical	icd10	361194	0	359824	1370
C67	categorical	icd10	361194	0	359640	1554
K07	categorical	icd10	361194	0	360784	410
E83	categorical	icd10	361194	0	360436	758
E23	categorical	icd10	361194	0	361021	173
K86	categorical	icd10	361194	0	360673	521
R47	categorical	icd10	361194	0	360895	299
K61	categorical	icd10	361194	0	360141	1053
O75	categorical	icd10	361194	0	360986	208
O63	categorical	icd10	361194	0	360134	1060
M89	categorical	icd10	361194	0	360402	792
C90	categorical	icd10	361194	0	360793	401
O62	categorical	icd10	361194	0	361014	180
N71	categorical	icd10	361194	0	361068	126
S86	categorical	icd10	361194	0	360527	667
C01	categorical	icd10	361194	0	361092	102
L29	categorical	icd10	361194	0	360942	252
Z11	categorical	icd10	361194	0	360943	251
S52	categorical	icd10	361194	0	356114	5080
O99	categorical	icd10	361194	0	360627	567
D41	categorical	icd10	361194	0	360670	524
C61	categorical	icd10	361194	0	356852	4342
D06	categorical	icd10	361194	0	360744	450
M86	categorical	icd10	361194	0	360946	248
I84	categorical	icd10	361194	0	349092	12102
R87	categorical	icd10	361194	0	360110	1084
N19	categorical	icd10	361194	0	361030	164
C62	categorical	icd10	361194	0	360973	221
I08	categorical	icd10	361194	0	360944	250
Z36	categorical	icd10	361194	0	360353	841
G44	categorical	icd10	361194	0	360887	307
M66	categorical	icd10	361194	0	360806	388
Z00	categorical	icd10	361194	0	360945	249
N84	categorical	icd10	361194	0	354208	6986
J38	categorical	icd10	361194	0	360026	1168
L57	categorical	icd10	361194	0	359747	1447
D28	categorical	icd10	361194	0	361062	132
N42	categorical	icd10	361194	0	360571	623
M45	categorical	icd10	361194	0	361048	146
T79	categorical	icd10	361194	0	360989	205
N90	categorical	icd10	361194	0	360117	1077
C53	categorical	icd10	361194	0	361002	192
R22	categorical	icd10	361194	0	359836	1358
D16	categorical	icd10	361194	0	360983	211
D13	categorical	icd10	361194	0	360572	622
A87	categorical	icd10	361194	0	361078	116
D61	categorical	icd10	361194	0	361067	127
O72	categorical	icd10	361194	0	360887	307
S27	categorical	icd10	361194	0	360951	243
I20	categorical	icd10	361194	0	354948	6246
K85	categorical	icd10	361194	0	359902	1292
E14	categorical	icd10	361194	0	360970	224
M21	categorical	icd10	361194	0	360606	588
C85	categorical	icd10	361194	0	360432	762
J98	categorical	icd10	361194	0	360629	565
R14	categorical	icd10	361194	0	360863	331
S72	categorical	icd10	361194	0	359391	1803
S69	categorical	icd10	361194	0	361088	106
L82	categorical	icd10	361194	0	359163	2031
I82	categorical	icd10	361194	0	361049	145
H05	categorical	icd10	361194	0	361052	142
G40	categorical	icd10	361194	0	360399	795
M95	categorical	icd10	361194	0	360996	198
S09	categorical	icd10	361194	0	359861	1333
T82	categorical	icd10	361194	0	360061	1133
J20	categorical	icd10	361194	0	361092	102
H26	categorical	icd10	361194	0	349888	11306
S42	categorical	icd10	361194	0	359403	1791
H04	categorical	icd10	361194	0	359718	1476
K31	categorical	icd10	361194	0	358820	2374
E05	categorical	icd10	361194	0	360802	392
N93	categorical	icd10	361194	0	358739	2455
E21	categorical	icd10	361194	0	360886	308
I31	categorical	icd10	361194	0	360812	382
Z45	categorical	icd10	361194	0	358985	2209
R93	categorical	icd10	361194	0	359977	1217
J34	categorical	icd10	361194	0	356756	4438
K38	categorical	icd10	361194	0	361092	102
